ville,date,temperature,humidite,pluie,vent,description,score_meteo,ideal_temp,low_rain,low_wind
Antalaha,2021-07-05,25.6,79.0,2.3,17.7,inconnu,18,True,False,False
Antalaha,2021-07-06,24.7,85.0,5.0,18.6,inconnu,7,True,False,False
Antalaha,2021-07-07,24.1,86.0,2.1,20.1,inconnu,14,True,False,False
Antalaha,2021-07-08,24.7,82.0,0.9,21.8,inconnu,20,True,True,False
Antalaha,2021-07-09,25.7,84.0,3.9,23.2,inconnu,13,True,False,False
Antalaha,2021-07-10,25.0,86.0,4.0,23.0,inconnu,11,True,False,False
Antalaha,2021-07-11,23.3,87.0,6.7,20.8,inconnu,0,True,False,False
Antalaha,2021-07-12,25.0,85.0,4.5,23.3,inconnu,9,True,False,False
Antalaha,2021-07-13,24.8,83.0,2.0,23.9,inconnu,17,True,False,False
Antalaha,2021-07-14,23.3,86.0,1.9,20.3,inconnu,13,True,False,False
Antalaha,2021-07-15,23.5,81.0,2.0,19.8,inconnu,14,True,False,False
Antalaha,2021-07-16,24.6,78.0,3.6,20.0,inconnu,12,True,False,False
Antalaha,2021-07-17,24.4,81.0,1.2,21.0,inconnu,18,True,False,False
Antalaha,2021-07-18,24.2,84.0,1.1,15.5,inconnu,18,True,False,False
Antalaha,2021-07-19,22.6,92.0,22.7,16.7,inconnu,0,True,False,False
Antalaha,2021-07-20,23.8,88.0,4.3,20.7,inconnu,6,True,False,False
Antalaha,2021-07-21,25.0,84.0,4.5,20.8,inconnu,10,True,False,False
Antalaha,2021-07-22,25.1,82.0,3.4,19.9,inconnu,13,True,False,False
Antalaha,2021-07-23,22.9,86.0,2.4,17.4,inconnu,10,True,False,False
Antalaha,2021-07-24,24.7,81.0,1.8,17.8,inconnu,17,True,False,False
Antalaha,2021-07-25,22.6,85.0,8.7,22.5,inconnu,0,True,False,False
Antalaha,2021-07-26,21.0,88.0,7.6,17.1,inconnu,0,True,False,False
Antalaha,2021-07-27,24.7,81.0,0.2,17.9,inconnu,22,True,True,False
Antalaha,2021-07-28,24.4,82.0,1.1,20.0,inconnu,19,True,False,False
Antalaha,2021-07-29,24.5,90.0,2.9,16.8,inconnu,12,True,False,False
Antalaha,2021-07-30,24.0,88.0,7.0,24.1,inconnu,0,True,False,False
Antalaha,2021-07-31,24.7,80.0,2.0,23.2,inconnu,17,True,False,False
Antalaha,2021-08-01,23.1,87.0,6.9,20.0,inconnu,0,True,False,False
Antalaha,2021-08-02,24.5,84.0,1.9,16.1,inconnu,16,True,False,False
Antalaha,2021-08-03,25.3,84.0,0.1,18.8,inconnu,23,True,True,False
Antalaha,2021-08-04,24.8,77.0,0.2,20.4,inconnu,23,True,True,False
Antalaha,2021-08-05,22.1,91.0,7.8,21.1,inconnu,0,True,False,False
Antalaha,2021-08-06,24.4,79.0,0.8,21.0,inconnu,20,True,True,False
Antalaha,2021-08-07,23.3,85.0,1.4,17.7,inconnu,14,True,False,False
Antalaha,2021-08-08,25.4,82.0,0.0,18.6,inconnu,24,True,True,False
Antalaha,2021-08-09,24.5,85.0,0.8,14.7,inconnu,19,True,True,True
Antalaha,2021-08-10,25.2,84.0,0.5,18.6,inconnu,22,True,True,False
Antalaha,2021-08-11,25.3,79.0,0.0,20.5,inconnu,25,True,True,False
Antalaha,2021-08-12,24.2,88.0,3.6,14.1,inconnu,10,True,False,True
Antalaha,2021-08-13,24.6,86.0,1.2,15.9,inconnu,18,True,False,False
Antalaha,2021-08-14,26.2,79.0,0.0,21.1,peu nuageux,27,True,True,False
Antalaha,2021-08-15,24.1,77.0,0.9,26.1,inconnu,19,True,True,False
Antalaha,2021-08-16,25.1,73.0,0.2,25.1,inconnu,24,True,True,False
Antalaha,2021-08-17,24.6,75.0,0.3,23.8,inconnu,23,True,True,False
Antalaha,2021-08-18,23.7,85.0,4.7,21.1,inconnu,5,True,False,False
Antalaha,2021-08-19,24.1,90.0,7.6,15.1,inconnu,0,True,False,False
Antalaha,2021-08-20,24.8,85.0,6.8,18.5,inconnu,2,True,False,False
Antalaha,2021-08-21,25.7,77.0,0.0,20.4,inconnu,26,True,True,False
Antalaha,2021-08-22,25.6,78.0,0.0,21.7,inconnu,26,True,True,False
Antalaha,2021-08-23,25.6,80.0,0.2,18.9,inconnu,25,True,True,False
Antalaha,2021-08-24,24.8,78.0,2.0,20.7,inconnu,18,True,False,False
Antalaha,2021-08-25,25.2,78.0,0.0,21.9,inconnu,25,True,True,False
Antalaha,2021-08-26,24.8,77.0,0.2,22.9,inconnu,23,True,True,False
Antalaha,2021-08-27,25.2,72.0,0.0,22.7,peu nuageux,26,True,True,False
Antalaha,2021-08-28,26.1,84.0,3.2,18.9,inconnu,16,True,False,False
Antalaha,2021-08-29,24.5,91.0,12.0,24.0,inconnu,0,True,False,False
Antalaha,2021-08-30,24.5,92.0,22.5,18.9,inconnu,0,True,False,False
Antalaha,2021-08-31,25.3,88.0,4.2,17.6,inconnu,10,True,False,False
Antalaha,2021-09-01,25.6,83.0,2.1,20.1,inconnu,18,True,False,False
Antalaha,2021-09-02,25.8,79.0,1.3,23.7,inconnu,22,True,False,False
Antalaha,2021-09-03,24.7,80.0,1.7,26.1,inconnu,18,True,False,False
Antalaha,2021-09-04,25.8,73.0,0.4,24.0,inconnu,26,True,True,False
Antalaha,2021-09-05,26.0,74.0,0.3,23.3,inconnu,26,True,True,False
Antalaha,2021-09-06,23.8,86.0,14.3,22.5,inconnu,0,True,False,False
Antalaha,2021-09-07,24.1,86.0,13.3,21.4,inconnu,0,True,False,False
Antalaha,2021-09-08,24.6,82.0,0.5,18.1,inconnu,21,True,True,False
Antalaha,2021-09-09,24.9,81.0,0.3,16.4,inconnu,22,True,True,False
Antalaha,2021-09-10,24.8,79.0,0.4,22.0,inconnu,22,True,True,False
Antalaha,2021-09-11,25.0,75.0,0.9,24.5,inconnu,22,True,True,False
Antalaha,2021-09-12,24.9,81.0,4.9,25.5,inconnu,9,True,False,False
Antalaha,2021-09-13,24.0,89.0,7.8,21.3,inconnu,0,True,False,False
Antalaha,2021-09-14,23.5,87.0,3.0,19.6,inconnu,10,True,False,False
Antalaha,2021-09-15,24.9,82.0,1.6,18.8,inconnu,18,True,False,False
Antalaha,2021-09-16,24.7,85.0,1.3,15.6,inconnu,18,True,False,False
Antalaha,2021-09-17,25.5,86.0,0.6,11.5,inconnu,24,True,True,True
Antalaha,2021-09-18,26.0,87.0,0.0,17.5,peu nuageux,25,True,True,False
Antalaha,2021-09-19,25.3,88.0,2.5,22.2,inconnu,16,True,False,False
Antalaha,2021-09-20,24.7,73.0,0.1,23.1,inconnu,24,True,True,False
Antalaha,2021-09-21,25.5,75.0,0.0,23.7,inconnu,26,True,True,False
Antalaha,2021-09-22,25.2,81.0,0.3,20.6,inconnu,23,True,True,False
Antalaha,2021-09-23,25.5,79.0,0.4,24.0,inconnu,24,True,True,False
Antalaha,2021-09-24,26.3,77.0,0.5,23.5,inconnu,26,True,True,False
Antalaha,2021-09-25,26.4,81.0,4.0,22.2,inconnu,15,True,False,False
Antalaha,2021-09-26,26.1,77.0,1.5,24.6,inconnu,22,True,False,False
Antalaha,2021-09-27,25.9,80.0,4.8,25.9,inconnu,12,True,False,False
Antalaha,2021-09-28,25.8,84.0,3.6,22.9,inconnu,14,True,False,False
Antalaha,2021-09-29,24.0,84.0,2.1,20.4,inconnu,14,True,False,False
Antalaha,2021-09-30,25.2,81.0,1.1,19.1,inconnu,21,True,False,False
Antalaha,2021-10-01,25.6,81.0,1.3,17.6,inconnu,21,True,False,False
Antalaha,2021-10-02,25.7,84.0,3.6,18.3,inconnu,14,True,False,False
Antalaha,2021-10-03,25.5,85.0,1.5,18.5,inconnu,20,True,False,False
Antalaha,2021-10-04,24.3,88.0,8.7,14.8,inconnu,0,True,False,True
Antalaha,2021-10-05,26.8,81.0,0.1,21.7,inconnu,28,True,True,False
Antalaha,2021-10-06,26.7,78.0,0.0,17.2,inconnu,28,True,True,False
Antalaha,2021-10-07,26.3,81.0,0.0,14.1,inconnu,27,True,True,True
Antalaha,2021-10-08,24.5,83.0,2.4,19.2,inconnu,15,True,False,False
Antalaha,2021-10-09,26.8,72.0,0.0,27.5,inconnu,30,True,True,False
Antalaha,2021-10-10,26.7,75.0,0.1,22.2,inconnu,28,True,True,False
Antalaha,2021-10-11,27.1,79.0,0.3,27.9,inconnu,28,True,True,False
Antalaha,2021-10-12,26.8,77.0,3.7,27.1,inconnu,18,True,False,False
