date_id,ville_id,temperature,humidite,pluie,vent,score_meteo,ideal_temp,low_rain,low_wind
20210705,1,25.6,79.0,2.3,17.7,18,True,False,False
20210706,1,24.7,85.0,5.0,18.6,7,True,False,False
20210707,1,24.1,86.0,2.1,20.1,14,True,False,False
20210708,1,24.7,82.0,0.9,21.8,20,True,True,False
20210709,1,25.7,84.0,3.9,23.2,13,True,False,False
20210710,1,25.0,86.0,4.0,23.0,11,True,False,False
20210711,1,23.3,87.0,6.7,20.8,0,True,False,False
20210712,1,25.0,85.0,4.5,23.3,9,True,False,False
20210713,1,24.8,83.0,2.0,23.9,17,True,False,False
20210714,1,23.3,86.0,1.9,20.3,13,True,False,False
20210715,1,23.5,81.0,2.0,19.8,14,True,False,False
20210716,1,24.6,78.0,3.6,20.0,12,True,False,False
20210717,1,24.4,81.0,1.2,21.0,18,True,False,False
20210718,1,24.2,84.0,1.1,15.5,18,True,False,False
20210719,1,22.6,92.0,22.7,16.7,0,True,False,False
20210720,1,23.8,88.0,4.3,20.7,6,True,False,False
20210721,1,25.0,84.0,4.5,20.8,10,True,False,False
20210722,1,25.1,82.0,3.4,19.9,13,True,False,False
20210723,1,22.9,86.0,2.4,17.4,10,True,False,False
20210724,1,24.7,81.0,1.8,17.8,17,True,False,False
20210725,1,22.6,85.0,8.7,22.5,0,True,False,False
20210726,1,21.0,88.0,7.6,17.1,0,True,False,False
20210727,1,24.7,81.0,0.2,17.9,22,True,True,False
20210728,1,24.4,82.0,1.1,20.0,19,True,False,False
20210729,1,24.5,90.0,2.9,16.8,12,True,False,False
20210730,1,24.0,88.0,7.0,24.1,0,True,False,False
20210731,1,24.7,80.0,2.0,23.2,17,True,False,False
20210801,1,23.1,87.0,6.9,20.0,0,True,False,False
20210802,1,24.5,84.0,1.9,16.1,16,True,False,False
20210803,1,25.3,84.0,0.1,18.8,23,True,True,False
20210804,1,24.8,77.0,0.2,20.4,23,True,True,False
20210805,1,22.1,91.0,7.8,21.1,0,True,False,False
20210806,1,24.4,79.0,0.8,21.0,20,True,True,False
20210807,1,23.3,85.0,1.4,17.7,14,True,False,False
20210808,1,25.4,82.0,0.0,18.6,24,True,True,False
20210809,1,24.5,85.0,0.8,14.7,19,True,True,True
20210810,1,25.2,84.0,0.5,18.6,22,True,True,False
20210811,1,25.3,79.0,0.0,20.5,25,True,True,False
20210812,1,24.2,88.0,3.6,14.1,10,True,False,True
20210813,1,24.6,86.0,1.2,15.9,18,True,False,False
20210814,1,26.2,79.0,0.0,21.1,27,True,True,False
20210815,1,24.1,77.0,0.9,26.1,19,True,True,False
20210816,1,25.1,73.0,0.2,25.1,24,True,True,False
20210817,1,24.6,75.0,0.3,23.8,23,True,True,False
20210818,1,23.7,85.0,4.7,21.1,5,True,False,False
20210819,1,24.1,90.0,7.6,15.1,0,True,False,False
20210820,1,24.8,85.0,6.8,18.5,2,True,False,False
20210821,1,25.7,77.0,0.0,20.4,26,True,True,False
20210822,1,25.6,78.0,0.0,21.7,26,True,True,False
20210823,1,25.6,80.0,0.2,18.9,25,True,True,False
20210824,1,24.8,78.0,2.0,20.7,18,True,False,False
20210825,1,25.2,78.0,0.0,21.9,25,True,True,False
20210826,1,24.8,77.0,0.2,22.9,23,True,True,False
20210827,1,25.2,72.0,0.0,22.7,26,True,True,False
20210828,1,26.1,84.0,3.2,18.9,16,True,False,False
20210829,1,24.5,91.0,12.0,24.0,0,True,False,False
20210830,1,24.5,92.0,22.5,18.9,0,True,False,False
20210831,1,25.3,88.0,4.2,17.6,10,True,False,False
20210901,1,25.6,83.0,2.1,20.1,18,True,False,False
20210902,1,25.8,79.0,1.3,23.7,22,True,False,False
20210903,1,24.7,80.0,1.7,26.1,18,True,False,False
20210904,1,25.8,73.0,0.4,24.0,26,True,True,False
20210905,1,26.0,74.0,0.3,23.3,26,True,True,False
20210906,1,23.8,86.0,14.3,22.5,0,True,False,False
20210907,1,24.1,86.0,13.3,21.4,0,True,False,False
20210908,1,24.6,82.0,0.5,18.1,21,True,True,False
20210909,1,24.9,81.0,0.3,16.4,22,True,True,False
20210910,1,24.8,79.0,0.4,22.0,22,True,True,False
20210911,1,25.0,75.0,0.9,24.5,22,True,True,False
20210912,1,24.9,81.0,4.9,25.5,9,True,False,False
20210913,1,24.0,89.0,7.8,21.3,0,True,False,False
20210914,1,23.5,87.0,3.0,19.6,10,True,False,False
20210915,1,24.9,82.0,1.6,18.8,18,True,False,False
20210916,1,24.7,85.0,1.3,15.6,18,True,False,False
20210917,1,25.5,86.0,0.6,11.5,24,True,True,True
20210918,1,26.0,87.0,0.0,17.5,25,True,True,False
20210919,1,25.3,88.0,2.5,22.2,16,True,False,False
20210920,1,24.7,73.0,0.1,23.1,24,True,True,False
20210921,1,25.5,75.0,0.0,23.7,26,True,True,False
20210922,1,25.2,81.0,0.3,20.6,23,True,True,False
20210923,1,25.5,79.0,0.4,24.0,24,True,True,False
20210924,1,26.3,77.0,0.5,23.5,26,True,True,False
20210925,1,26.4,81.0,4.0,22.2,15,True,False,False
20210926,1,26.1,77.0,1.5,24.6,22,True,False,False
20210927,1,25.9,80.0,4.8,25.9,12,True,False,False
20210928,1,25.8,84.0,3.6,22.9,14,True,False,False
20210929,1,24.0,84.0,2.1,20.4,14,True,False,False
20210930,1,25.2,81.0,1.1,19.1,21,True,False,False
20211001,1,25.6,81.0,1.3,17.6,21,True,False,False
20211002,1,25.7,84.0,3.6,18.3,14,True,False,False
20211003,1,25.5,85.0,1.5,18.5,20,True,False,False
20211004,1,24.3,88.0,8.7,14.8,0,True,False,True
20211005,1,26.8,81.0,0.1,21.7,28,True,True,False
20211006,1,26.7,78.0,0.0,17.2,28,True,True,False
20211007,1,26.3,81.0,0.0,14.1,27,True,True,True
20211008,1,24.5,83.0,2.4,19.2,15,True,False,False
20211009,1,26.8,72.0,0.0,27.5,30,True,True,False
20211010,1,26.7,75.0,0.1,22.2,28,True,True,False
20211011,1,27.1,79.0,0.3,27.9,28,True,True,False
20211012,1,26.8,77.0,3.7,27.1,18,True,False,False
20211013,1,26.9,85.0,8.6,18.8,2,True,False,False
20211014,1,27.4,84.0,1.0,22.0,26,True,False,False
20211015,1,27.2,79.0,1.7,22.8,24,True,False,False
20211016,1,26.2,75.0,0.6,21.4,26,True,True,False
20211017,1,26.4,80.0,3.2,20.1,18,True,False,False
20211018,1,26.4,82.0,8.8,19.9,0,True,False,False
20211019,1,26.0,83.0,4.2,14.6,13,True,False,True
20211020,1,26.5,82.0,1.3,15.5,23,True,False,False
20211021,1,27.4,81.0,0.0,16.2,30,True,True,False
20211022,1,27.8,85.0,0.1,15.8,30,True,True,False
20211023,1,27.9,87.0,2.9,14.5,21,True,False,True
20211024,1,25.6,91.0,7.9,9.3,3,True,False,True
20211025,1,27.5,85.0,2.5,19.5,22,True,False,False
20211026,1,27.2,79.0,1.0,23.5,26,True,False,False
