ville,date,temperature,humidite,pluie,vent,description,score_meteo,ideal_temp,low_rain,low_wind
Antsirabe,2021-07-05,19.60,76.00,0.00,10.50,inconnu,14,False,True,True
Antsirabe,2021-07-06,20.60,73.00,0.00,12.10,inconnu,16,True,True,True
Antsirabe,2021-07-07,17.80,81.00,0.50,15.60,inconnu,4,False,True,False
Antsirabe,2021-07-08,18.70,77.00,0.00,18.30,inconnu,8,False,True,False
Antsirabe,2021-07-09,18.00,77.00,0.30,23.00,inconnu,6,False,True,False
Antsirabe,2021-07-10,19.60,77.00,0.00,17.30,inconnu,11,False,True,False
Antsirabe,2021-07-11,19.40,74.00,0.00,16.00,inconnu,11,False,True,False
Antsirabe,2021-07-12,19.80,80.00,0.00,17.10,inconnu,11,False,True,False
Antsirabe,2021-07-13,18.60,76.00,0.00,17.10,inconnu,8,False,True,False
Antsirabe,2021-07-14,19.00,72.00,0.00,12.20,inconnu,12,False,True,True
Antsirabe,2021-07-15,17.90,77.00,0.00,18.70,inconnu,6,False,True,False
Antsirabe,2021-07-16,18.40,76.00,0.00,14.80,inconnu,8,False,True,True
Antsirabe,2021-07-17,18.80,75.00,0.00,17.00,inconnu,9,False,True,False
Antsirabe,2021-07-18,19.40,76.00,0.00,10.40,inconnu,13,False,True,True
Antsirabe,2021-07-19,19.20,77.00,1.20,19.20,inconnu,6,False,False,False
Antsirabe,2021-07-20,18.30,81.00,0.90,20.90,inconnu,4,False,True,False
Antsirabe,2021-07-21,20.50,76.00,0.00,17.50,inconnu,13,True,True,False
Antsirabe,2021-07-22,19.50,72.00,0.00,11.20,inconnu,14,False,True,True
Antsirabe,2021-07-23,19.90,70.00,0.00,10.00,inconnu,16,False,True,True
Antsirabe,2021-07-24,18.20,76.00,0.30,17.10,inconnu,6,False,True,False
Antsirabe,2021-07-25,14.40,80.00,0.10,19.20,inconnu,0,False,True,False
Antsirabe,2021-07-26,15.20,78.00,0.00,16.30,inconnu,0,False,True,False
Antsirabe,2021-07-27,17.70,72.00,0.00,15.90,inconnu,7,False,True,False
Antsirabe,2021-07-28,17.90,72.00,0.00,14.40,peu nuageux,8,False,True,True
