ville,date,temperature,humidite,pluie,vent,description,score_meteo,ideal_temp,low_rain,low_wind
Antananarivo,2021-07-05,20.20,80.00,0.00,13.40,nuageux,13,True,True,True
Antananarivo,2021-07-06,20.90,79.00,1.20,15.50,bruine légère,10,True,False,False
Antananarivo,2021-07-07,17.80,84.00,1.30,15.80,bruine légère,1,False,False,False
Antananarivo,2021-07-08,19.00,80.00,0.00,21.10,nuageux,9,False,True,False
Antananarivo,2021-07-09,19.10,79.00,0.80,25.30,bruine modérée,7,False,True,False
Antananarivo,2021-07-10,19.60,79.00,0.00,23.50,nuageux,10,False,True,False
Antananarivo,2021-07-11,19.90,76.00,0.00,21.10,nuageux,12,False,True,False
Antananarivo,2021-07-12,20.00,79.00,0.10,19.80,bruine légère,11,True,True,False
Antananarivo,2021-07-13,18.80,78.00,0.00,19.60,nuageux,9,False,True,False
Antananarivo,2021-07-14,19.20,78.00,0.00,15.00,nuageux,9,False,True,False
Antananarivo,2021-07-15,18.70,77.00,0.10,21.80,bruine légère,8,False,True,False
Antananarivo,2021-07-16,19.40,77.00,0.00,17.20,nuageux,10,False,True,False
Antananarivo,2021-07-17,20.20,76.00,0.00,19.10,nuageux,12,True,True,False
Antananarivo,2021-07-18,19.90,78.00,0.00,16.20,nuageux,11,False,True,False
Antananarivo,2021-07-19,18.80,79.00,0.00,21.50,nuageux,8,False,True,False
Antananarivo,2021-07-20,19.40,80.00,0.40,22.70,bruine légère,8,False,True,False
Antananarivo,2021-07-21,20.00,77.00,0.00,21.30,nuageux,12,True,True,False
Antananarivo,2021-07-22,19.50,75.00,0.00,15.30,nuageux,11,False,True,False
Antananarivo,2021-07-23,20.30,75.00,0.00,13.60,nuageux,14,True,True,True
Antananarivo,2021-07-24,19.80,74.00,0.00,18.50,nuageux,12,False,True,False
Antananarivo,2021-07-25,17.20,74.00,0.20,30.60,bruine légère,5,False,True,False
Antananarivo,2021-07-26,16.50,76.00,0.00,25.20,nuageux,3,False,True,False
Antananarivo,2021-07-27,19.50,72.00,0.10,14.70,bruine légère,11,False,True,True
Antananarivo,2021-07-28,19.80,69.00,0.00,18.20,peu nuageux,13,False,True,False
Antananarivo,2021-07-29,19.20,80.00,0.20,27.70,bruine légère,9,False,True,False
Antananarivo,2021-07-30,18.90,78.00,0.30,24.30,bruine légère,8,False,True,False
Antananarivo,2021-07-31,20.20,76.00,0.00,21.30,nuageux,12,True,True,False
Antananarivo,2021-08-01,18.70,78.00,0.10,20.50,bruine légère,8,False,True,False
Antananarivo,2021-08-02,20.10,73.00,0.00,10.20,nuageux,16,True,True,True
Antananarivo,2021-08-03,22.20,71.00,0.00,17.50,nuageux,18,True,True,False
Antananarivo,2021-08-04,19.10,78.00,0.20,21.90,bruine légère,9,False,True,False
Antananarivo,2021-08-05,19.20,76.00,0.00,21.00,nuageux,10,False,True,False
Antananarivo,2021-08-06,20.40,71.00,0.00,14.50,nuageux,14,True,True,True
Antananarivo,2021-08-07,21.10,72.00,0.00,20.10,nuageux,15,True,True,False
Antananarivo,2021-08-08,22.00,71.00,0.00,11.90,nuageux,20,True,True,True
Antananarivo,2021-08-09,21.70,70.00,0.00,12.30,nuageux,19,True,True,True
Antananarivo,2021-08-10,21.70,74.00,0.00,18.00,nuageux,16,True,True,False
Antananarivo,2021-08-11,19.40,71.00,0.00,15.80,nuageux,11,False,True,False
Antananarivo,2021-08-12,23.10,73.00,0.00,10.70,partiellement nuageux,23,True,True,True
Antananarivo,2021-08-13,23.80,76.00,0.00,15.60,nuageux,21,True,True,False
Antananarivo,2021-08-14,21.00,75.00,0.00,25.90,nuageux,15,True,True,False
Antananarivo,2021-08-15,18.40,73.00,0.00,18.80,nuageux,8,False,True,False
Antananarivo,2021-08-16,17.60,72.00,0.00,20.30,nuageux,7,False,True,False
Antananarivo,2021-08-17,17.20,73.00,0.00,20.30,nuageux,5,False,True,False
Antananarivo,2021-08-18,19.70,73.00,0.00,16.80,nuageux,12,False,True,False
Antananarivo,2021-08-19,24.70,74.00,0.00,17.10,nuageux,24,True,True,False
Antananarivo,2021-08-20,26.20,75.00,0.00,14.00,nuageux,28,True,True,True
Antananarivo,2021-08-21,26.00,72.00,0.00,20.20,nuageux,28,True,True,False
