ville,date,temperature,humidite,pluie,vent,description,score_meteo,ideal_temp,low_rain,low_wind
Mahajanga,2021-07-05,31.60,51.00,0.00,17.30,nuageux,38,False,True,False
Mahajanga,2021-07-06,30.80,54.00,0.00,15.80,partiellement nuageux,39,False,True,False
Mahajanga,2021-07-07,31.70,51.00,0.00,15.70,partiellement nuageux,38,False,True,False
Mahajanga,2021-07-08,31.30,48.00,0.00,17.80,nuageux,38,False,True,False
Mahajanga,2021-07-09,31.40,51.00,1.30,20.60,bruine dense,34,False,False,False
Mahajanga,2021-07-10,32.40,51.00,0.00,23.80,nuageux,38,False,True,False
Mahajanga,2021-07-11,31.90,48.00,0.00,25.40,nuageux,38,False,True,False
Mahajanga,2021-07-12,32.00,49.00,0.00,23.20,nuageux,38,False,True,False
Mahajanga,2021-07-13,31.40,45.00,0.00,19.80,nuageux,37,False,True,False
Mahajanga,2021-07-14,30.60,48.00,0.00,20.30,partiellement nuageux,38,False,True,False
Mahajanga,2021-07-15,30.10,48.00,0.00,14.90,peu nuageux,38,False,True,True
Mahajanga,2021-07-16,31.10,50.00,0.00,19.20,partiellement nuageux,38,False,True,False
Mahajanga,2021-07-17,30.60,53.00,0.00,18.60,partiellement nuageux,38,False,True,False
Mahajanga,2021-07-18,31.00,54.00,0.00,14.10,nuageux,39,False,True,True
Mahajanga,2021-07-19,32.40,51.00,0.60,19.50,bruine modérée,36,False,True,False
Mahajanga,2021-07-20,32.50,49.00,1.70,19.10,bruine modérée,33,False,False,False
Mahajanga,2021-07-21,31.90,48.00,0.00,17.80,peu nuageux,38,False,True,False
Mahajanga,2021-07-22,31.70,46.00,0.00,18.80,nuageux,37,False,True,False
Mahajanga,2021-07-23,31.00,55.00,0.00,16.00,partiellement nuageux,39,False,True,False
Mahajanga,2021-07-24,30.70,56.00,0.00,18.40,ciel dégagé,39,False,True,False
Mahajanga,2021-07-25,31.00,54.00,0.00,15.30,nuageux,39,False,True,False
Mahajanga,2021-07-26,30.90,47.00,0.00,19.60,nuageux,37,False,True,False
Mahajanga,2021-07-27,30.20,50.00,0.00,18.90,peu nuageux,38,False,True,False
Mahajanga,2021-07-28,30.80,52.00,0.00,15.70,partiellement nuageux,38,False,True,False
Mahajanga,2021-07-29,31.40,48.00,0.20,24.70,bruine légère,37,False,True,False
Mahajanga,2021-07-30,32.10,52.00,0.10,23.20,bruine légère,38,False,True,False
Mahajanga,2021-07-31,31.60,47.00,0.00,23.90,peu nuageux,37,False,True,False
Mahajanga,2021-08-01,31.00,48.00,0.00,18.30,partiellement nuageux,38,False,True,False
Mahajanga,2021-08-02,30.90,56.00,0.00,17.60,nuageux,39,False,True,False
Mahajanga,2021-08-03,29.60,70.00,0.20,17.30,bruine légère,36,False,True,False
Mahajanga,2021-08-04,31.80,55.00,0.00,21.10,nuageux,39,False,True,False
Mahajanga,2021-08-05,31.10,47.00,0.00,22.30,nuageux,37,False,True,False
Mahajanga,2021-08-06,31.50,49.00,0.00,13.70,nuageux,39,False,True,True
Mahajanga,2021-08-07,31.10,57.00,0.00,14.50,ciel dégagé,39,False,True,True
Mahajanga,2021-08-08,29.60,65.00,0.10,18.00,bruine légère,37,False,True,False
Mahajanga,2021-08-09,31.40,65.00,0.00,20.60,nuageux,39,False,True,False
