ville,date,temperature,humidite,pluie,vent,description,score_meteo,ideal_temp,low_rain,low_wind
Toamasina,2021-07-05,23.20,92.00,10.20,12.20,pluie légère,0,True,False,True
Toamasina,2021-07-06,20.90,95.00,19.10,12.90,pluie légère,0,True,False,True
Toamasina,2021-07-07,23.90,88.00,1.50,16.90,bruine légère,15,True,False,False
Toamasina,2021-07-08,21.90,95.00,15.20,18.60,pluie légère,0,True,False,False
Toamasina,2021-07-09,22.00,96.00,30.80,20.70,pluie modérée,0,True,False,False
Toamasina,2021-07-10,23.30,91.00,15.00,15.70,pluie modérée,0,True,False,False
Toamasina,2021-07-11,22.80,88.00,7.10,17.70,bruine modérée,0,True,False,False
Toamasina,2021-07-12,24.10,88.00,6.60,14.30,bruine dense,1,True,False,True
Toamasina,2021-07-13,23.90,86.00,3.20,12.80,bruine modérée,12,True,False,True
Toamasina,2021-07-14,22.70,90.00,4.40,13.10,bruine modérée,4,True,False,True
Toamasina,2021-07-15,23.80,87.00,4.90,16.00,bruine dense,5,True,False,False
Toamasina,2021-07-16,21.30,94.00,10.90,15.30,pluie légère,0,True,False,False
Toamasina,2021-07-17,21.00,96.00,13.70,17.10,pluie modérée,0,True,False,False
Toamasina,2021-07-18,22.00,95.00,9.50,15.20,pluie modérée,0,True,False,False
Toamasina,2021-07-19,21.00,99.00,26.20,16.50,pluie modérée,0,True,False,False
Toamasina,2021-07-20,23.70,89.00,7.10,12.90,bruine dense,0,True,False,True
Toamasina,2021-07-21,24.30,81.00,5.50,18.00,bruine dense,5,True,False,False
Toamasina,2021-07-22,22.80,94.00,14.80,14.80,pluie légère,0,True,False,True
Toamasina,2021-07-23,23.10,90.00,5.30,11.50,bruine modérée,4,True,False,True
Toamasina,2021-07-24,23.70,84.00,1.30,18.20,bruine modérée,16,True,False,False
Toamasina,2021-07-25,20.70,95.00,43.80,22.00,pluie modérée,0,True,False,False
Toamasina,2021-07-26,19.90,94.00,16.40,22.80,pluie légère,0,False,False,False
Toamasina,2021-07-27,22.40,77.00,0.20,21.10,bruine légère,17,True,True,False
Toamasina,2021-07-28,22.90,78.00,6.40,25.20,pluie légère,0,True,False,False
Toamasina,2021-07-29,23.40,93.00,24.20,22.90,pluie légère,0,True,False,False
Toamasina,2021-07-30,23.10,90.00,9.80,17.90,pluie légère,0,True,False,False
Toamasina,2021-07-31,22.60,87.00,6.20,18.50,bruine modérée,0,True,False,False
Toamasina,2021-08-01,22.50,87.00,7.10,14.80,pluie légère,0,True,False,True
Toamasina,2021-08-02,23.40,87.00,0.20,11.90,bruine légère,20,True,True,True
Toamasina,2021-08-03,24.50,86.00,0.50,13.00,bruine légère,21,True,True,True
Toamasina,2021-08-04,21.40,93.00,7.00,17.40,bruine modérée,0,True,False,False
Toamasina,2021-08-05,22.50,86.00,9.90,21.70,bruine dense,0,True,False,False
Toamasina,2021-08-06,22.40,84.00,1.40,18.60,bruine légère,12,True,False,False
Toamasina,2021-08-07,22.80,87.00,1.20,12.60,bruine légère,15,True,False,True
Toamasina,2021-08-08,24.40,88.00,0.00,11.80,partiellement nuageux,23,True,True,True
Toamasina,2021-08-09,24.10,86.00,0.00,12.10,nuageux,22,True,True,True
Toamasina,2021-08-10,24.40,87.00,0.50,11.00,bruine légère,22,True,True,True
Toamasina,2021-08-11,23.50,87.00,1.00,16.60,bruine légère,16,True,False,False
Toamasina,2021-08-12,24.50,87.00,0.10,12.00,bruine légère,23,True,True,True
Toamasina,2021-08-13,25.60,87.00,0.10,12.60,bruine légère,25,True,True,True
Toamasina,2021-08-14,23.90,88.00,5.70,26.10,pluie légère,2,True,False,False
Toamasina,2021-08-15,21.40,88.00,19.10,23.20,pluie légère,0,True,False,False
Toamasina,2021-08-16,22.00,85.00,6.50,23.40,bruine dense,0,True,False,False
Toamasina,2021-08-17,21.40,90.00,7.00,16.20,bruine dense,0,True,False,False
Toamasina,2021-08-18,22.10,88.00,3.20,16.90,bruine modérée,5,True,False,False
Toamasina,2021-08-19,21.90,93.00,4.00,11.50,bruine modérée,4,True,False,True
Toamasina,2021-08-20,24.90,90.00,1.90,15.00,bruine modérée,16,True,False,False
Toamasina,2021-08-21,24.40,88.00,0.10,11.00,bruine légère,23,True,True,True
Toamasina,2021-08-22,24.10,85.00,0.20,12.10,bruine légère,22,True,True,True
Toamasina,2021-08-23,24.50,85.00,0.40,13.10,bruine légère,22,True,True,True
Toamasina,2021-08-24,24.00,83.00,1.50,13.70,bruine légère,17,True,False,True
Toamasina,2021-08-25,24.10,85.00,0.60,11.40,bruine légère,21,True,True,True
Toamasina,2021-08-26,23.60,85.00,2.30,13.00,bruine modérée,14,True,False,True
Toamasina,2021-08-27,23.10,80.00,5.30,21.50,bruine modérée,3,True,False,False
Toamasina,2021-08-28,21.60,99.00,32.10,26.40,pluie modérée,0,True,False,False
Toamasina,2021-08-29,24.50,93.00,28.90,20.50,pluie modérée,0,True,False,False
Toamasina,2021-08-30,23.00,98.00,14.50,12.10,pluie légère,0,True,False,True
Toamasina,2021-08-31,24.60,93.00,7.40,11.00,pluie légère,1,True,False,True
Toamasina,2021-09-01,24.90,89.00,2.20,12.20,bruine modérée,17,True,False,True
Toamasina,2021-09-02,24.30,82.00,1.70,15.80,bruine légère,16,True,False,False
Toamasina,2021-09-03,24.10,84.00,3.80,17.70,bruine modérée,9,True,False,False
Toamasina,2021-09-04,23.70,88.00,6.00,17.10,pluie légère,1,True,False,False
Toamasina,2021-09-05,22.60,89.00,7.30,17.20,bruine dense,0,True,False,False
Toamasina,2021-09-06,23.20,86.00,4.30,15.00,bruine légère,5,True,False,False
Toamasina,2021-09-07,24.60,87.00,5.70,16.10,bruine modérée,4,True,False,False
Toamasina,2021-09-08,23.70,85.00,1.40,9.20,bruine légère,19,True,False,True
Toamasina,2021-09-09,24.10,86.00,1.10,8.70,bruine légère,21,True,False,True
Toamasina,2021-09-10,23.50,87.00,1.10,15.50,bruine légère,15,True,False,False
